time,pos
1693345399.129559213, 348
1693345430.747914453, 341
1693345462.363595546, 330
1693345493.981111989, 322
1693345525.599416275, 314
1693345557.219209810, 308
1693345588.836552848, 299
1693345620.643975785, 481
1693345652.264258314, 475
1693345683.883959492, 469
1693345715.502578902, 461
1693345747.120196874, 453
1693345778.740257525, 447
1693345810.360139444, 441
1693345841.977488444, 432
1693345873.595996296, 425
1693345905.214925765, 418
1693345936.836256512, 413
1693345968.455063551, 406
1693346000.073761921, 398
1693346031.692569402, 391
1693346063.309747761, 382
1693346094.927364616, 374
1693346126.545713020, 366
1693346158.164507070, 359
1693346189.783145216, 352
1693346221.400497799, 343
1693346253.016265941, 333
1693346284.635107615, 326
1693346316.252543577, 317
1693346347.869637276, 308
1693346379.489968910, 303
1693346411.296344976, 483
1693346442.917999834, 479
1693346474.539498440, 474
1693346506.159588550, 468
1693346537.778182278, 461
1693346569.399979092, 457
1693346601.019069683, 450
1693346632.638051262, 443
1693346664.255301637, 434
1693346695.872106754, 425
1693346727.492379176, 419
1693346759.109674707, 410
1693346790.729011069, 404
1693346822.347618277, 396
1693346853.961873955, 385
1693346885.577416254, 374
1693346917.196133698, 367
1693346948.813558853, 358
1693346980.429547521, 348
1693347012.046817791, 340
1693347043.665341429, 332
1693347075.282498909, 323
1693347106.902908252, 318
1693347138.520368700, 309
1693347170.140135507, 303
1693347201.944863223, 482
1693347233.562082744, 473
1693347265.179769470, 464
1693347296.799588991, 458
1693347328.416942283, 450
1693347360.034110646, 441
1693347391.651628950, 432
1693347423.267493759, 422
1693347454.884847337, 414
1693347486.499325180, 402
1693347518.113836631, 391
